


| Training Step | Cross Entropy |  Layer  |   Epoch  |
| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      148.1427 | Layer 1 | Epoch 16  |
|             0 |     2552.4961 | Layer 2 | Epoch 16  |
|           100 |      141.1199 | Layer 1 | Epoch 16  |
|           100 |     1369.0244 | Layer 2 | Epoch 16  |
|           200 |      145.3476 | Layer 1 | Epoch 16  |
|           200 |     1278.9917 | Layer 2 | Epoch 16  |
|           300 |      145.5578 | Layer 1 | Epoch 16  |
|           300 |     1272.6725 | Layer 2 | Epoch 16  |
|           400 |      144.1980 | Layer 1 | Epoch 16  |
|           400 |     1276.4219 | Layer 2 | Epoch 16  |
|           500 |      147.5057 | Layer 1 | Epoch 16  |
|           500 |     1259.0917 | Layer 2 | Epoch 16  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      141.6210 | Layer 1 | Epoch 17  |
|             0 |     2471.9683 | Layer 2 | Epoch 17  |
|           100 |      143.2007 | Layer 1 | Epoch 17  |
|           100 |     1365.9617 | Layer 2 | Epoch 17  |
|           200 |      146.1294 | Layer 1 | Epoch 17  |
|           200 |     1274.4542 | Layer 2 | Epoch 17  |
|           300 |      143.9982 | Layer 1 | Epoch 17  |
|           300 |     1268.1476 | Layer 2 | Epoch 17  |
|           400 |      140.7118 | Layer 1 | Epoch 17  |
|           400 |     1267.3530 | Layer 2 | Epoch 17  |
|           500 |      143.9947 | Layer 1 | Epoch 17  |
|           500 |     1263.2256 | Layer 2 | Epoch 17  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      141.7369 | Layer 1 | Epoch 18  |
|             0 |     2532.9797 | Layer 2 | Epoch 18  |
|           100 |      141.6767 | Layer 1 | Epoch 18  |
|           100 |     1358.7471 | Layer 2 | Epoch 18  |
|           200 |      137.0958 | Layer 1 | Epoch 18  |
|           200 |     1280.5226 | Layer 2 | Epoch 18  |
|           300 |      139.4020 | Layer 1 | Epoch 18  |
|           300 |     1274.3461 | Layer 2 | Epoch 18  |
|           400 |      140.7006 | Layer 1 | Epoch 18  |
|           400 |     1252.5073 | Layer 2 | Epoch 18  |
|           500 |      135.8397 | Layer 1 | Epoch 18  |
|           500 |     1268.8326 | Layer 2 | Epoch 18  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
