


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|           300 |     1289.0018 | Layer 2 | Epoch 12  |
|           400 |      146.1934 | Layer 1 | Epoch 12  |
|           400 |     1280.8146 | Layer 2 | Epoch 12  |
|           500 |      155.4039 | Layer 1 | Epoch 12  |
|           500 |     1272.6213 | Layer 2 | Epoch 12  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      145.9109 | Layer 1 | Epoch 13  |
|             0 |     2503.5034 | Layer 2 | Epoch 13  |
|           100 |      148.9944 | Layer 1 | Epoch 13  |
|           100 |     1381.3083 | Layer 2 | Epoch 13  |
|           200 |      148.9690 | Layer 1 | Epoch 13  |
|           200 |     1294.6208 | Layer 2 | Epoch 13  |
|           300 |      147.5249 | Layer 1 | Epoch 13  |
|           300 |     1282.8999 | Layer 2 | Epoch 13  |
|           400 |      145.3063 | Layer 1 | Epoch 13  |
|           400 |     1280.9806 | Layer 2 | Epoch 13  |
|           500 |      149.6437 | Layer 1 | Epoch 13  |
|           500 |     1273.9697 | Layer 2 | Epoch 13  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      141.6828 | Layer 1 | Epoch 14  |
|             0 |     2481.3770 | Layer 2 | Epoch 14  |
|           100 |      150.5768 | Layer 1 | Epoch 14  |
|           100 |     1365.5984 | Layer 2 | Epoch 14  |
|           200 |      150.2455 | Layer 1 | Epoch 14  |
|           200 |     1294.8583 | Layer 2 | Epoch 14  |
|           300 |      148.0125 | Layer 1 | Epoch 14  |
|           300 |     1281.1917 | Layer 2 | Epoch 14  |
|           400 |      147.9989 | Layer 1 | Epoch 14  |
|           400 |     1273.8572 | Layer 2 | Epoch 14  |
|           500 |      141.1906 | Layer 1 | Epoch 14  |
|           500 |     1274.5665 | Layer 2 | Epoch 14  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      145.0948 | Layer 1 | Epoch 15  |
|             0 |     2567.3394 | Layer 2 | Epoch 15  |
|           100 |      144.7844 | Layer 1 | Epoch 15  |
|           100 |     1375.9994 | Layer 2 | Epoch 15  |
|           200 |      151.0709 | Layer 1 | Epoch 15  |
|           200 |     1281.3545 | Layer 2 | Epoch 15  |
|           300 |      142.5658 | Layer 1 | Epoch 15  |
|           300 |     1276.0491 | Layer 2 | Epoch 15  |
|           400 |      144.9057 | Layer 1 | Epoch 15  |
|           400 |     1278.4860 | Layer 2 | Epoch 15  |
|           500 |      141.5829 | Layer 1 | Epoch 15  |
|           500 |     1274.7856 | Layer 2 | Epoch 15  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      150.6567 | Layer 1 | Epoch 16  |
|             0 |     2483.3481 | Layer 2 | Epoch 16  |
|           100 |      146.5843 | Layer 1 | Epoch 16  |
|           100 |     1358.9460 | Layer 2 | Epoch 16  |
|           200 |      145.0862 | Layer 1 | Epoch 16  |
|           200 |     1283.0286 | Layer 2 | Epoch 16  |
|           300 |      140.6520 | Layer 1 | Epoch 16  |
|           300 |     1273.0017 | Layer 2 | Epoch 16  |
|           400 |      143.7701 | Layer 1 | Epoch 16  |
|           400 |     1266.0779 | Layer 2 | Epoch 16  |
|           500 |      144.2217 | Layer 1 | Epoch 16  |
|           500 |     1264.1028 | Layer 2 | Epoch 16  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      141.1859 | Layer 1 | Epoch 17  |
|             0 |     2527.6545 | Layer 2 | Epoch 17  |
|           100 |      146.0425 | Layer 1 | Epoch 17  |
|           100 |     1363.8715 | Layer 2 | Epoch 17  |
|           200 |      137.9394 | Layer 1 | Epoch 17  |
|           200 |     1285.0759 | Layer 2 | Epoch 17  |
|           300 |      151.1347 | Layer 1 | Epoch 17  |
|           300 |     1255.3271 | Layer 2 | Epoch 17  |
|           400 |      143.8992 | Layer 1 | Epoch 17  |
|           400 |     1266.8879 | Layer 2 | Epoch 17  |
|           500 |      150.5569 | Layer 1 | Epoch 17  |
|           500 |     1261.0229 | Layer 2 | Epoch 17  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      147.1302 | Layer 1 | Epoch 18  |
|             0 |     2519.5083 | Layer 2 | Epoch 18  |
|           100 |      136.2137 | Layer 1 | Epoch 18  |
